,date_created,user,tweet,user_mention,retweet_count,retweeted,location,followers,following,verfied,hashtag,comment,likes,type
0,Mon Jun 01 09:48:14 +0000 2020,MercedesBenz_SA,"@ChowderNkosi Hi Nqobi, thank you for getting in touch. 

We would suggest that you visit our Certified Pre-Owned vehicles website by following this link: https://t.co/kLNsxUgJDa

You can browse for the vehicle you're looking for there.

All the best,
The Mercedes-Benz Team",ChowderNkosi,0,False,South Africa,249943,2415,True,Nan,1,0,Influencer
0,Mon Jun 01 10:08:51 +0000 2020,MercedesBenz_SA,"@jpvrftw Hi Jacques, thank you for reaching us on Twitter.

The facelifted V-Class is available. Follow the link to find out more: https://t.co/Qo1DlSsEmr

All the best,
The Mercedes-Benz Team",jpvrftw,0,False,South Africa,249943,2415,True,Nan,1,0,Influencer
0,Mon Jun 01 10:11:21 +0000 2020,MercedesBenz_SA,"@HelpMercedes @MercedesBenz Hi there, thank you kindly for bringing this to our attention. 

We recommend speaking directly to a technician at a Mercedes-Benz dealership in your area, as they would be able to provide you with the best possible advice for your unique situation.

The Mercedes-Benz Team",HelpMercedes,0,False,South Africa,249943,2415,True,Nan,1,0,Influencer
0,Mon Jun 01 12:59:21 +0000 2020,MercedesBenz_SA,"@tsholohot Hi Tsholo, thank you for reaching out to us.

We have replied to your DM.

The Mercedes-Benz Team",tsholohot,0,False,South Africa,249943,2415,True,Nan,1,0,Influencer
0,Tue Jun 02 10:49:23 +0000 2020,MercedesBenz_SA,"@HelpMercedes @MercedesBenz Hi there, thank you for bringing this to our attention. Could you please send us a DM with your full name, contact details and your vehicle's VIN number so we can assist you further?

The Mercedes-Benz Team
https://t.co/ElASSVLTdC",HelpMercedes,0,False,South Africa,249943,2415,True,Nan,1,0,Influencer
0,Thu Jun 04 08:47:59 +0000 2020,MercedesBenz_SA,"@Tshepang___ Hi Tshepang, 

We'd like to thank you for sharing your immense passion with us.
Keep it up, we love hearing from you!

All the best,
The Mercedes-Benz team",Tshepang___,0,False,South Africa,249943,2415,True,Nan,1,0,Influencer
0,Mon Jun 08 09:28:03 +0000 2020,MercedesBenz_SA,"@DadaDoesThingz Hi Dada, thank you for bringing this to our attention. Could you please send us a DM with your full name, contact details, VIN number and a brief description of what happened so we can assist?

The Mercedes-Benz Team
https://t.co/ElASSVLTdC",DadaDoesThingz,0,False,South Africa,249943,2415,True,Nan,1,0,Influencer
0,Mon Jun 08 11:42:55 +0000 2020,MercedesBenz_SA,"@BridgetMasinga Hi Bridget, thank you for getting in touch. Please send us a DM with a brief description of what happened, contact details and VIN number so we can help?

The Mercedes-Benz Team
https://t.co/ElASSVLTdC",BridgetMasinga,0,False,South Africa,249943,2415,True,Nan,1,0,Influencer
0,Wed Jun 10 17:13:11 +0000 2020,MercedesBenz_SA,"Check out the full Mercedes-Benz range from the comfort of your home 🏠

➡️Shop now: https://t.co/hxMFt2seud

#MercedesBenzOnline #TheBestOrNothing #DrivingPerformance https://t.co/8YsTowidAb",Nan,6,False,South Africa,249943,2415,True,MercedesBenzOnline,0,34,Influencer
0,Thu Jun 11 10:49:04 +0000 2020,MercedesBenz_SA,"More of what you asked for. 
Does size really matter? Be the first to call it ⚡️

Mercedes-AMG GT S vs Mercedes-AMG GT 4-Door.

#UnrivalledAMG #AMG #MercedesAMG 
#DrivingPerformance #GTS #GT4DOOR https://t.co/PckMc084cT",Nan,5,False,South Africa,249943,2415,True,UnrivalledAMG,0,9,Influencer
0,Fri Jun 12 07:15:15 +0000 2020,MercedesBenz_SA,"More of what you asked for. 
Mercedes-AMG GT S vs Mercedes-AMG GT 4-Door.

#UnrivalledAMG #AMG #MercedesAMG #DrivingPerformance #GTS #GT4DOOR https://t.co/W78mXzkvgP",Nan,3,False,South Africa,249943,2415,True,UnrivalledAMG,0,10,Influencer
0,Fri Jun 12 10:00:10 +0000 2020,MercedesBenz_SA,"UNRIVALLED // SERIES TWO // EPISODE TWO
More power. More doors. More drama. It’s almost more than we can handle ⚠️

#UnrivalledAMG #AMG #MercedesAMG #DrivingPerformance #GTS #GT4DOOR https://t.co/4vXmCOs40T",Nan,9,False,South Africa,249943,2415,True,UnrivalledAMG,0,15,Influencer
0,Fri Jun 12 13:00:14 +0000 2020,MercedesBenz_SA,"Is bigger always better?
⚠️It’s the Mercedes-AMG GT S vs the new Mercedes-AMG GT 4-Door. Who will take the flag?

#UnrivalledAMG #AMG #MercedesAMG #DrivingPerformance #GTS #GT4DOOR",Nan,2,False,South Africa,249943,2415,True,UnrivalledAMG,0,17,Influencer
0,Fri Jun 12 16:03:32 +0000 2020,MercedesBenz_SA,"⚠️The #NSFW matchup you’ve been asking for⚠️

Watch the Mercedes-AMG GT S take on the new Mercedes-AMG GT 4-Door in the latest episode of UNRIVALLED.

#UnrivalledAMG #AMG #MercedesAMG #DrivingPerformance #GTS #GT4DOOR https://t.co/ibu1HVf7gh",Nan,4,False,South Africa,249943,2415,True,NSFW,0,28,Influencer
0,Wed Jun 17 17:00:12 +0000 2020,MercedesBenz_SA,"Explore our newest showroom, and browse the full Mercedes-Benz range nationwide, from the comfort of your own home.
